Ticker,Exp,Initial
ZI,12/1/2020,21
DADA,12/2/2020,16
CALT,12/2/2020,20
LEGN,12/2/2020,23
FOUR,12/2/2020,23
VRM,12/7/2020,22
RNA,12/9/2020,18
AZEK,12/9/2020,23
BNR,12/9/2020,19
FMTX,12/16/2020,20
AKUS,12/23/2020,17
ACI,12/23/2020,16
FUSN,12/23/2020,17
